127.0.0.1 - - [21/Dec/2018:15:29:16 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [21/Dec/2018:15:29:20 +0800] "GET /o2o/index.html HTTP/1.1" 200 5049
0:0:0:0:0:0:0:1 - - [21/Dec/2018:15:29:21 +0800] "GET /assets/js/zepto.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [21/Dec/2018:15:29:21 +0800] "GET /assets/js/config.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [21/Dec/2018:15:29:30 +0800] "GET /assets/js/zepto.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [21/Dec/2018:15:29:30 +0800] "GET /assets/js/config.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [21/Dec/2018:15:31:17 +0800] "GET /o2o/index.html HTTP/1.1" 200 5055
0:0:0:0:0:0:0:1 - - [21/Dec/2018:15:31:18 +0800] "GET /assets/js/config.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [21/Dec/2018:15:31:18 +0800] "GET /assets/js/zepto.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [21/Dec/2018:15:31:18 +0800] "GET /assets/js/config.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [21/Dec/2018:15:32:44 +0800] "GET /o2o/index.html HTTP/1.1" 200 5081
0:0:0:0:0:0:0:1 - - [21/Dec/2018:15:32:44 +0800] "GET /assets/js/config.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [21/Dec/2018:15:32:44 +0800] "GET /assets/js/zepto.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [21/Dec/2018:15:32:44 +0800] "GET /assets/js/config.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [21/Dec/2018:15:45:48 +0800] "GET /o2o/index.html HTTP/1.1" 200 5227
0:0:0:0:0:0:0:1 - - [21/Dec/2018:15:45:49 +0800] "GET /assets/js/config.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [21/Dec/2018:15:45:49 +0800] "GET /assets/js/zepto.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [21/Dec/2018:15:45:49 +0800] "GET /assets/js/config.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [21/Dec/2018:15:48:30 +0800] "GET /o2o/index.html HTTP/1.1" 404 1092
